105,29,66,10,4
131,91,66,4,8
97,123,66,1,14
6,86,66,0,12
171,67,66,7,7
48,121,66,1,12
114,161,66,0,12
79,134,66,3,10
164,37,66,12,2
27,103,66,1,11
156,160,66,0,15
32,138,66,6,7
187,179,66,3,9
126,189,66,4,10
163,114,66,10,4
112,137,66,0,14
152,66,78,0,14
170,66,78,7,7
36,75,78,13,0
5,148,78,3,8
4,130,78,12,2
196,3,78,1,14
156,175,78,0,14
62,32,78,2,12
160,142,78,5,9
15,166,78,1,13
86,140,78,10,5
196,185,78,0,13
172,16,78,9,4
94,35,152,6,7
190,88,152,7,7
125,145,152,10,4
64,98,152,5,8
69,54,152,9,5
71,73,152,11,2
92,83,152,12,1
7,65,152,11,1
70,46,152,0,13
57,187,152,0,12
95,43,159,14,0
143,117,159,14,0
121,149,159,13,1
12,5,159,15,0
144,60,159,11,2
92,70,159,11,4
153,154,159,13,0
50,140,159,13,0
42,147,159,13,0
66,168,159,15,0
95,159,7,1,13
0,131,7,8,5
72,178,7,9,5
152,73,7,11,3
110,37,7,12,0
40,130,7,13,2
103,136,7,3,9
195,109,7,4,10
13,176,7,8,5
106,78,95,3,9
88,104,95,2,11
77,161,95,4,10
83,4,95,14,0
105,41,95,12,2
199,197,95,7,7
144,197,95,8,7
55,6,95,10,1
31,105,95,14,0
84,196,95,2,11
120,3,95,3,11
103,122,95,0,14
175,163,95,3,12
7,153,95,9,4
178,166,95,0,13
82,52,95,2,11
174,170,95,2,12
57,63,95,0,10
49,181,95,10,4
120,121,29,10,4
178,36,29,12,2
99,55,29,8,7
172,77,29,5,8
104,171,29,1,13
114,143,29,9,4
117,173,29,0,15
191,119,29,9,3
196,25,29,14,0
103,152,35,12,2
78,190,35,3,11
87,33,35,0,12
165,33,35,1,13
29,23,35,12,3
22,75,35,7,7
167,161,35,3,11
118,4,35,7,8
56,165,35,12,0
66,122,35,6,9
1,99,35,10,4
41,185,35,9,4
59,17,35,12,1
85,131,194,5,9
2,115,194,2,11
80,0,194,10,5
169,44,194,1,12
31,189,194,13,0
103,72,194,0,13
11,69,194,2,11
122,69,194,8,6
171,107,194,6,7
80,96,194,0,12
80,46,194,0,14
141,24,194,6,7
93,106,194,10,4
91,64,194,6,6
85,194,131,11,3
65,14,131,9,6
119,123,131,1,13
5,145,131,6,7
52,43,131,9,5
80,18,131,5,8
84,27,131,0,13
86,134,131,5,7
76,54,131,14,0
27,165,131,3,12
184,148,131,10,3
185,199,131,13,0
16,122,131,0,14
6,69,131,10,3
86,19,131,13,1
93,106,131,8,6
130,33,85,3,12
9,104,85,11,3
192,0,85,7,7
170,4,85,5,8
94,73,85,5,9
188,37,85,14,0
192,2,85,11,2
141,39,85,8,5
112,38,85,15,0
183,88,14,4,10
55,58,14,8,6
23,103,14,9,5
181,103,14,5,8
112,186,14,0,13
141,179,14,1,13
168,40,14,0,14
133,109,14,4,10
95,114,14,7,6
102,132,14,1,12
78,180,14,0,14
179,93,14,1,12
123,14,91,13,1
111,145,91,8,7
74,104,91,5,8
22,134,91,4,10
119,160,91,0,15
177,138,91,1,12
64,172,91,2,11
130,191,91,3,12
55,17,91,1,14
1,68,91,13,1
87,29,123,9,4
144,59,123,10,4
194,145,123,7,6
106,151,123,13,1
193,110,123,11,3
52,139,123,7,5
135,45,123,12,3
154,45,123,12,1
165,9,123,3,11
26,100,123,9,4
78,183,123,11,2
98,8,123,8,4
6,64,123,11,3
176,33,92,1,12
190,145,92,5,10
83,97,92,11,4
88,0,92,11,3
5,105,92,0,14
105,9,92,0,14
149,160,92,6,7
161,12,92,0,14
137,109,92,1,13
145,171,92,10,4
62,72,92,0,13
171,13,92,8,5
33,92,190,8,6
135,10,190,10,3
29,67,190,11,2
99,149,190,5,9
173,199,190,13,1
94,179,190,4,10
45,39,190,12,3
163,39,190,11,4
96,119,190,10,3
87,182,190,9,5
170,46,190,0,15
48,168,190,12,1
118,137,190,0,15
150,31,190,1,14
53,71,190,7,6
147,29,33,13,0
87,35,33,12,0
165,35,33,13,1
83,194,33,15,0
19,79,33,10,0
14,60,33,1,12
129,173,33,14,0
188,13,33,14,0
32,132,33,0,14
51,15,33,14,1
83,80,86,9,5
185,113,86,0,14
13,82,86,11,1
124,6,86,6,9
44,56,86,6,4
143,34,86,6,7
47,74,86,7,6
20,13,86,12,2
196,119,86,6,7
129,140,86,1,12
102,137,86,3,11
109,95,88,14,0
59,86,88,14,0
127,43,88,4,10
159,160,88,13,0
95,141,88,5,9
76,130,88,14,0
8,77,88,2,13
116,172,88,0,15
191,93,88,4,11
63,123,59,4,9
26,42,59,10,5
189,0,59,9,5
94,4,59,15,0
58,62,59,3,11
163,108,59,0,14
145,148,59,3,10
28,5,59,7,5
154,179,59,14,0
27,163,59,9,6
113,52,59,12,1
141,93,59,4,9
82,24,59,13,1
162,131,115,10,5
71,131,115,2,12
125,91,115,0,13
145,33,115,6,8
9,42,115,14,1
85,49,115,2,12
6,26,115,0,12
138,148,115,12,2
197,94,115,3,11
126,65,115,4,8
58,189,115,2,11
140,19,115,4,10
23,29,145,12,1
5,131,145,7,6
111,91,145,5,10
193,18,145,11,2
29,197,145,13,1
77,179,145,14,1
85,177,145,5,9
30,143,145,5,8
61,69,145,12,2
46,76,145,11,4
76,21,10,4,10
179,160,10,2,12
161,179,10,6,9
70,109,10,11,2
133,143,10,12,2
131,72,10,2,11
148,13,10,14,0
42,52,10,5,10
37,25,10,12,3
139,184,10,12,2
124,63,10,6,8
140,68,10,6,7
162,181,10,1,11
122,80,104,3,12
149,120,104,12,2
47,0,104,3,10
20,49,104,1,12
182,82,104,11,2
107,197,104,9,5
177,62,104,6,8
20,105,104,0,12
159,56,104,13,0
162,147,104,15,0
124,68,104,10,2
55,150,104,8,7
121,67,97,9,2
191,75,97,12,2
134,6,97,14,0
63,62,97,15,0
29,94,97,13,2
100,60,97,4,8
49,143,97,0,12
51,142,97,7,7
75,69,97,15,0
122,99,97,14,0
15,116,97,12,2
192,97,151,4,10
89,75,151,3,10
50,160,151,0,13
35,130,151,7,5
106,11,151,3,11
188,125,151,2,12
33,157,151,10,5
165,64,151,1,11
28,35,192,3,11
40,194,192,14,0
159,59,192,0,15
